subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct
SS11,19,Start19,Stop19,431381.0220149829,431386.018729272,4.0,7.0,0,7.0,True
SS11,20,Start20,Stop20,431393.2256040679,431398.22449915693,4.0,8.0,0,7.0,False
SS11,21,Start21,Stop21,431405.4306302529,431410.4308599418,4.0,9.0,0,7.0,False
SS11,22,Start22,Stop22,431417.6420358375,431422.65600602597,4.0,11.0,0,7.0,False
SS11,23,Start23,Stop23,431429.6485104309,431434.92791530816,4.0,7.5,0,7.0,False
SS11,24,Start24,Stop24,431442.05418430734,431447.065075296,4.0,8.5,0,7.0,False
SS12,1,Start1,Stop1,431647.43400815886,431652.44458753226,4.0,7.0,0,7.0,True
SS12,2,Start2,Stop2,431659.4458232362,431664.65701679257,4.0,8.0,0,7.0,False
SS12,3,Start3,Stop3,431671.84589598054,431676.8519461544,4.0,9.0,0,7.0,False
SS12,4,Start4,Stop4,431684.2585056238,431689.259453398,4.0,11.0,0,7.0,False
SS12,5,Start5,Stop5,431696.4641664846,431701.4641031589,4.0,7.5,0,7.0,False
SS12,6,Start6,Stop6,431708.4734575622,431713.479774636,4.0,8.5,0,7.0,False
SS12,7,Start7,Stop7,431720.8784276061,431725.8860725798,4.0,7.0,0,7.0,True
SS12,8,Start8,Stop8,431733.0868088667,431738.08887964085,4.0,8.0,0,7.0,False
SS12,9,Start9,Stop9,431745.29918652703,431750.29827710136,4.0,9.0,0,7.0,False
SS12,10,Start10,Stop10,431757.5100284874,431762.50876416184,4.0,11.0,0,7.0,False
SS12,11,Start11,Stop11,431769.7327884468,431774.71612182254,4.0,7.5,0,7.0,False
SS12,12,Start12,Stop12,431782.1181839924,431787.12120306643,4.0,8.5,0,7.0,False
SS12,13,Start13,Stop13,431794.32768475293,431799.3331716268,4.0,7.0,0,7.0,True
SS12,14,Start14,Stop14,431806.7428906959,431811.5415053874,4.0,8.0,0,7.0,False
SS12,15,Start15,Stop15,431818.75286817347,431823.7585424473,4.0,9.0,0,7.0,False
SS12,16,Start16,Stop16,431831.15295231773,431836.15601959184,4.0,11.0,0,7.0,False
SS12,17,Start17,Stop17,431843.35864247865,431848.36103465274,4.0,7.5,0,7.0,False
SS12,18,Start18,Stop18,431855.56611423934,431860.5724497131,4.0,8.5,0,7.0,False
SS12,19,Start19,Stop19,431867.7822033993,431872.7786531739,4.0,7.0,0,7.0,True
SS12,20,Start20,Stop20,431879.9830435606,431884.99399163394,4.0,8.0,0,7.0,False
SS12,21,Start21,Stop21,431892.19512562087,431897.3924507784,4.0,9.0,0,7.0,False
SS12,22,Start22,Stop22,431904.6011366647,431909.6046722387,4.0,11.0,0,7.0,False
SS12,23,Start23,Stop23,431916.80992322526,431921.8297523979,4.0,7.5,0,7.0,False
SS12,24,Start24,Stop24,431929.02602608525,431934.0163421604,4.0,8.5,0,7.0,False
SS13,1,Start1,Stop1,432092.3836158397,432097.3796741651,4.0,7.0,0,7.0,True
SS13,2,Start2,Stop2,432104.5785416339,432109.58263855975,4.0,8.0,0,7.0,False
SS13,3,Start3,Stop3,432116.9833015417,432121.9883661677,4.0,9.0,0,7.0,False
SS13,4,Start4,Stop4,432129.19657653704,432134.1951763626,4.0,11.0,0,7.0,False
SS13,5,Start5,Stop5,432141.4109151325,432146.4019905575,4.0,7.5,0,7.0,False
SS13,6,Start6,Stop6,432153.6077017268,432158.61624285294,4.0,8.5,0,7.0,False
SS13,7,Start7,Stop7,432166.0154768347,432171.01571656036,4.0,7.0,0,7.0,True
SS13,8,Start8,Stop8,432178.2195977295,432183.22177805525,4.0,8.0,0,7.0,False
SS13,9,Start9,Stop9,432190.43339392485,432195.4294098503,4.0,9.0,0,7.0,False
SS13,10,Start10,Stop10,432202.6501939205,432207.69579354906,4.0,11.0,0,7.0,False
SS13,11,Start11,Stop11,432215.04853492783,432220.0539051538,4.0,7.5,0,7.0,False
SS13,12,Start12,Stop12,432227.2509311225,432232.25271134824,4.0,8.5,0,7.0,False
SS13,13,Start13,Stop13,432239.4551065173,432244.4609014432,4.0,7.0,0,7.0,True
SS13,14,Start14,Stop14,432251.6674725126,432256.4686218252,4.0,8.0,0,7.0,False
SS13,15,Start15,Stop15,432263.87642300763,432268.8738862331,4.0,9.0,0,7.0,False
SS13,16,Start16,Stop16,432276.08118010237,432280.88578981534,4.0,11.0,0,7.0,False
SS13,17,Start17,Stop17,432288.2884935974,432293.29391542333,4.0,7.5,0,7.0,False
SS13,18,Start18,Stop18,432300.69617690536,432305.6979924311,4.0,8.5,0,7.0,False
SS13,19,Start19,Stop19,432312.90703470056,432317.9082652263,4.0,7.0,0,7.0,True
SS13,20,Start20,Stop20,432325.1154147956,432330.1160520213,4.0,8.0,0,7.0,False
SS13,21,Start21,Stop21,432337.3261985908,432342.32559151633,4.0,9.0,0,7.0,False
SS13,22,Start22,Stop22,432349.53049018554,432354.5335400113,4.0,11.0,0,7.0,False
SS13,23,Start23,Stop23,432361.73455968034,432366.73831130617,4.0,7.5,0,7.0,False
SS13,24,Start24,Stop24,432373.9596203764,432378.9504737014,4.0,8.5,0,7.0,False
SS14,1,Start1,Stop1,515103.36094496347,515108.3323346063,4.0,7.0,0,7.0,True
SS14,2,Start2,Stop2,515115.7339593701,515120.72263561306,4.0,8.0,0,7.0,False
SS14,3,Start3,Stop3,515127.92117847514,515132.9229039182,4.0,9.0,0,7.0,False
SS14,4,Start4,Stop4,515140.1109697802,515145.1105742233,4.0,11.0,0,7.0,False
SS14,5,Start5,Stop5,515152.3087539853,515157.31769122847,4.0,7.5,0,7.0,False
SS14,6,Start6,Stop6,515164.4970753903,515169.4945964333,4.0,8.5,0,7.0,False
SS14,7,Start7,Stop7,515176.69032379537,515181.6868005384,4.0,7.0,0,7.0,True
SS14,8,Start8,Stop8,515189.0888035022,515194.07884444523,4.0,8.0,0,7.0,False
SS14,9,Start9,Stop9,515201.27854940726,515206.27576685033,4.0,9.0,0,7.0,False
SS14,10,Start10,Stop10,515213.67323201406,515218.6675999571,4.0,11.0,0,7.0,False
SS14,11,Start11,Stop11,515225.8690085191,515230.8662137622,4.0,7.5,0,7.0,False
SS14,12,Start12,Stop12,515238.26263962593,515243.259450669,4.0,8.5,0,7.0,False
SS14,13,Start13,Stop13,515250.456408431,515255.4561424741,4.0,7.0,0,7.0,True
SS14,14,Start14,Stop14,515262.6553975361,515267.6545277792,4.0,8.0,0,7.0,False
SS14,15,Start15,Stop15,515275.0471504429,515280.04543348594,4.0,9.0,0,7.0,False
SS14,16,Start16,Stop16,515287.24697144807,515292.24213769106,4.0,11.0,0,7.0,False
SS14,17,Start17,Stop17,515299.45628805325,515304.4523583963,4.0,7.5,0,7.0,False
SS14,18,Start18,Stop18,515311.6377905582,515316.64056300133,4.0,8.5,0,7.0,False
SS14,19,Start19,Stop19,515323.83851046336,515329.03489680815,4.0,7.0,0,7.0,True
SS14,20,Start20,Stop20,515336.0302736684,515341.23807461327,4.0,8.0,0,7.0,False
SS14,21,Start21,Stop21,515348.42770067527,515353.4308217183,4.0,9.0,0,7.0,False
SS14,22,Start22,Stop22,515360.83164268214,515365.82301022514,4.0,11.0,0,7.0,False
SS14,23,Start23,Stop23,515373.0403917873,515378.02284523024,4.0,7.5,0,7.0,False
SS14,24,Start24,Stop24,515385.22014919226,515390.22829863545,4.0,8.5,0,7.0,False
SS15,1,Start1,Stop1,515610.14998656313,515615.1454532493,4.0,7.0,0,7.0,True
SS15,2,Start2,Stop2,515622.3565895736,515627.3531379598,4.0,8.0,0,7.0,False
SS15,3,Start3,Stop3,515634.5532756839,515639.7706028739,4.0,9.0,0,7.0,False
