subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,22,Start22,Stop22,430164.47799234337,430169.48464253335,4.0,11.0,3,11.0,True,"[np.float64(0.38355644185162907), np.float64(0.2633226016709155), np.float64(0.27902924755214376), np.float64(0.42062445605857046), np.float64(0.22802414262743081), np.float64(0.170175244173167)]",bandpass+dc+sns+asr
SS09,23,Start23,Stop23,430176.6871792751,430181.67885216547,4.0,7.5,4,7.5,True,"[np.float64(0.21778868355885136), np.float64(0.237409782569591), np.float64(0.20092372196945868), np.float64(0.17642491640056202), np.float64(0.2857721083826838), np.float64(0.23827375471127318)]",bandpass+dc+sns+asr
SS09,24,Start24,Stop24,430188.68094971153,430193.68206700165,4.0,8.5,5,8.5,True,"[np.float64(0.28898655491560077), np.float64(0.30258088038444253), np.float64(0.24799185343339678), np.float64(0.21248707738200784), np.float64(0.27819248698059584), np.float64(0.47068741740985276)]",bandpass+dc+sns+asr
SS10,1,Start1,Stop1,430690.21940168185,430695.2203141752,4.0,7.0,0,7.0,True,"[np.float64(0.3338441449266948), np.float64(0.2532929296720876), np.float64(0.1916964074406476), np.float64(0.17343351069571558), np.float64(0.21752889085587626), np.float64(0.23923314896335884)]",bandpass+dc+sns+asr
SS10,2,Start2,Stop2,430702.6272237134,430707.6285784067,4.0,8.0,1,8.0,True,"[np.float64(0.2711169139180029), np.float64(0.3553534200854461), np.float64(0.22787623677301527), np.float64(0.3199459703356585), np.float64(0.31318246227490415), np.float64(0.2909131031664516)]",bandpass+dc+sns+asr
SS10,3,Start3,Stop3,430714.83075994113,430720.0353219382,4.0,9.0,4,7.5,False,"[np.float64(0.2430669179504967), np.float64(0.3274891494428939), np.float64(0.342313385552763), np.float64(0.21241245031283362), np.float64(0.35983418181165705), np.float64(0.2693330428715164)]",bandpass+dc+sns+asr
SS10,4,Start4,Stop4,430727.2393131726,430732.2350001659,4.0,11.0,3,11.0,True,"[np.float64(0.25126600012826983), np.float64(0.24806438905760297), np.float64(0.287040909625413), np.float64(0.3894555180046647), np.float64(0.26156557221673), np.float64(0.2933960553790169)]",bandpass+dc+sns+asr
SS10,5,Start5,Stop5,430739.4427411003,430744.4500976937,4.0,7.5,4,7.5,True,"[np.float64(0.2894030970879521), np.float64(0.2799588994957884), np.float64(0.23861200066426141), np.float64(0.2433989038635265), np.float64(0.40293414480845163), np.float64(0.3163078945486884)]",bandpass+dc+sns+asr
SS10,6,Start6,Stop6,430751.64603532804,430756.6978864223,4.0,8.5,5,8.5,True,"[np.float64(0.19712152082468776), np.float64(0.22413772863610165), np.float64(0.24997309027345044), np.float64(0.16055851366139434), np.float64(0.22260194531450878), np.float64(0.477387910351375)]",bandpass+dc+sns+asr
SS10,7,Start7,Stop7,430764.0512566595,430769.0570927529,4.0,7.0,0,7.0,True,"[np.float64(0.4511294197747183), np.float64(0.2749640893778923), np.float64(0.3418882255117242), np.float64(0.20224380562510957), np.float64(0.2883288795511017), np.float64(0.2626478117022323)]",bandpass+dc+sns+asr
