subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,scores,preproc
SS09,23,Start23,Stop23,430176.6871792751,430181.67885216547,4.0,7.5,2,9.0,False,"[np.float64(23596.103716434067), np.float64(125304.96129664057), np.float64(4370579.394658137), np.float64(157020.9565485457), np.float64(335608.0374548398), np.float64(15174.038891044935)]",bandpass+dc+sns
SS09,24,Start24,Stop24,430188.68094971153,430193.68206700165,4.0,8.5,4,7.5,False,"[np.float64(6748.45174137651), np.float64(136124.75061722516), np.float64(87642.0844671611), np.float64(42266.174534468024), np.float64(385180.1040555469), np.float64(65034.450563651684)]",bandpass+dc+sns
SS10,1,Start1,Stop1,430690.21940168185,430695.2203141752,4.0,7.0,0,7.0,True,"[np.float64(510526969.35015595), np.float64(11926410.053762212), np.float64(2318830.420094212), np.float64(1657013.39236886), np.float64(134538.34373789263), np.float64(1109358.4984879182)]",bandpass+dc+sns
SS10,2,Start2,Stop2,430702.6272237134,430707.6285784067,4.0,8.0,0,7.0,False,"[np.float64(13997201.123474406), np.float64(2417266.237360139), np.float64(1888762.1190498876), np.float64(4398278.734854704), np.float64(606703.4911066939), np.float64(838256.0511819384)]",bandpass+dc+sns
SS10,3,Start3,Stop3,430714.83075994113,430720.0353219382,4.0,9.0,1,8.0,False,"[np.float64(12483107.434746135), np.float64(13370998.833731044), np.float64(696469.4675357875), np.float64(2297632.8137223837), np.float64(634382.3382372401), np.float64(204630.5470374337)]",bandpass+dc+sns
SS10,4,Start4,Stop4,430727.2393131726,430732.2350001659,4.0,11.0,0,7.0,False,"[np.float64(3264025142.0322886), np.float64(970123.0559774835), np.float64(578745.1483438809), np.float64(13126003.47967139), np.float64(170022.53562819213), np.float64(658318.3456679418)]",bandpass+dc+sns
SS10,5,Start5,Stop5,430739.4427411003,430744.4500976937,4.0,7.5,0,7.0,False,"[np.float64(42541795.98586561), np.float64(666959.9376578731), np.float64(610720.2764067871), np.float64(9591737.862902535), np.float64(1117714.4562127665), np.float64(618903.5372040913)]",bandpass+dc+sns
SS10,6,Start6,Stop6,430751.64603532804,430756.6978864223,4.0,8.5,5,8.5,True,"[np.float64(68617128.84000233), np.float64(9719552.128670745), np.float64(81978.4528095393), np.float64(227702.0670344564), np.float64(400221.21409584355), np.float64(112112144.16691995)]",bandpass+dc+sns
SS10,7,Start7,Stop7,430764.0512566595,430769.0570927529,4.0,7.0,0,7.0,True,"[np.float64(8538736.877578638), np.float64(205771.19651408546), np.float64(147613.54542482202), np.float64(2242026.786449642), np.float64(3249569.1542318063), np.float64(198303.1313656458)]",bandpass+dc+sns
SS10,8,Start8,Stop8,430776.2655221874,430781.25826088054,4.0,8.0,0,7.0,False,"[np.float64(203819383.39050177), np.float64(261901.66620589), np.float64(139015.38682929982), np.float64(3065425.2371812304), np.float64(506566.91717159096), np.float64(323854.07308412576)]",bandpass+dc+sns
SS10,9,Start9,Stop9,430788.46459971496,430793.46277280827,4.0,9.0,0,7.0,False,"[np.float64(5424116408.632776), np.float64(111338.95771108555), np.float64(700389.7178803504), np.float64(6894029.76309485), np.float64(1118221.8054945979), np.float64(409768.8561422676)]",bandpass+dc+sns
SS10,10,Start10,Stop10,430800.67509944283,430805.67893143615,4.0,11.0,3,11.0,True,"[np.float64(8780044.35034306), np.float64(12235638.233456956), np.float64(310267.56590012676), np.float64(53311620.685589954), np.float64(663474.9411879943), np.float64(3349620.9279805506)]",bandpass+dc+sns
SS10,11,Start11,Stop11,430812.87868257053,430817.8823588639,4.0,7.5,3,11.0,False,"[np.float64(7950147.401196079), np.float64(356855.4867643385), np.float64(141646.77657024958), np.float64(9994003.790255204), np.float64(248201.69025133207), np.float64(346446.3943996)]",bandpass+dc+sns
SS10,12,Start12,Stop12,430825.08220559824,430830.0799972915,4.0,8.5,0,7.0,False,"[np.float64(25369891.640894428), np.float64(256531.95902970998), np.float64(268034.29602509504), np.float64(2168915.038823668), np.float64(406837.2238703665), np.float64(209737.5843748931)]",bandpass+dc+sns
